 'species'::'rioter','cycle'::rioter_cyclesi,'time'::rioter_timesi,'name'::rioter_namesi,'x'::rioter_x_locsi,'y'::rioter_y_locsi,'state_flock'::rioter_is_in_state_flocki,'state_violent'::rioter_is_in_state_violenti,'state_retreat'::rioter_is_in_state_retreati,'spatial_incursion_detected'::rioter_spatial_incursion_detectedi,'outnumbered_detected'::rioter_outnumbered_detectedi,'feeling_target_for_arrest_detected'::rioter_feeling_target_for_arrest_detectedi,'being_arrested_detected'::rioter_being_arrested_detectedi,'unjust_arrest_around_detected'::rioter_unjust_arrest_around_detectedi,'surrounded_detected'::rioter_surrounded_detectedi,'any_police_officer_around_detected'::rioter_any_police_officer_around_detectedi,'order_to_scatter_signal_detected'::rioter_order_to_scatter_signal_detectedi,'arrest_around_detected'::rioter_arrest_around_detectedi,'has_fear_confirmed'::rioter_has_fear_confirmedi,'has_fear'::rioter_has_feari,'has_anger'::rioter_has_angeri,'has_sadness'::rioter_has_sadnessi,'has_joy'::rioter_has_joyi,'grievance'::rioter_grievancei,'arrest_proba'::rioter_arrest_probai,'aggr_police_social_liking'::rioter_aggr_police_social_likingi,'record_damage_done'::rioter_record_damage_donei,'risk_aversion'::rioter_risk_aversioni,'police_social_liking_influence'::rioter_police_social_liking_influencei,'felt_negative_emotions'::rioter_felt_negative_emotionsi,'feel_strong_negative_emotions'::rioter_feel_strong_negative_emotionsi,'current_energy'::rioter_current_energyi 
rioter,0,0.0,rioter0,46.56029851360992,32.56612117891477,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.12306584692350742,0.8997411562771962,0.0,0.0,0.503312159936312,1.0,0.0,false,300.0
rioter,0,0.0,rioter1,7.429844043984224,24.91020615022386,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.1838582186730734,0.0,0.0,0.0,0.4405314833622189,1.0,0.0,false,300.0
rioter,0,0.0,rioter2,41.25334851253623,19.372735993078862,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.21482361925005877,0.0,0.0,0.0,0.7652232173984301,1.0,0.0,false,300.0
rioter,0,0.0,rioter3,39.50942729644449,28.080610553090764,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.41428277427612625,0.0,0.0,0.0,0.31838343603299,1.0,0.0,false,300.0
rioter,0,0.0,rioter4,5.504210969997716,26.30479895719826,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.0957831450707134,0.0,0.0,0.0,0.5146446516290905,1.0,0.0,false,300.0
rioter,0,0.0,rioter5,30.68647747602365,24.904130005761232,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.984203934563626,0.0,0.0,0.0,0.7086012108678796,1.0,0.0,false,300.0
rioter,0,0.0,rioter6,39.262547249516764,18.323314757425628,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.4376913515278047,0.0,0.0,0.0,0.14210478247146274,1.0,0.0,false,300.0
rioter,0,0.0,rioter7,24.185345690164233,25.657713599476406,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.9574579077079604,0.0,0.0,0.0,0.23926467459696377,1.0,0.0,false,300.0
rioter,0,0.0,rioter8,13.53169630805572,28.435701436237153,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.3407540006520219,0.0,0.0,0.0,0.9978777017201212,1.0,0.0,false,300.0
rioter,0,0.0,rioter9,28.236002019230018,24.891762932618082,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.43024044159955765,0.0,0.0,0.0,0.2417177478374659,1.0,0.0,false,300.0
rioter,0,0.0,rioter10,39.381919094000736,29.064705748025336,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.3843101993439445,0.0,0.0,0.0,0.7783482033123296,1.0,0.0,false,300.0
rioter,0,0.0,rioter11,2.9725551884295878,30.6367378266392,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.08959418775113182,0.0,0.0,0.0,0.17188778254846226,1.0,0.0,false,300.0
rioter,0,0.0,rioter12,26.780799309342566,34.51394793934281,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.04069349513065346,0.9989922145709514,0.0,0.0,0.5282710073115113,1.0,0.0,false,300.0
rioter,0,0.0,rioter13,40.12731858715256,16.691196454868802,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.8879761288655689,0.0,0.0,0.0,0.942023105486369,1.0,0.0,false,300.0
rioter,0,0.0,rioter14,45.16562061721039,28.82431341114729,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.5403148394369237,0.0,0.0,0.0,0.8715919257951674,1.0,0.0,false,300.0
rioter,0,0.0,rioter15,27.62079003233692,16.20700060651727,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.06621394416451631,0.9989922145709514,0.0,0.0,0.2837723765260345,1.0,0.0,false,300.0
rioter,0,0.0,rioter16,40.41131369349528,27.80079244423237,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.7095812189115795,0.0,0.0,0.0,0.9013329889990899,1.0,0.0,false,300.0
rioter,0,0.0,rioter17,29.702330060229034,22.40919391182539,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.6587124076193823,0.0,0.0,0.0,0.9378095242089286,1.0,0.0,false,300.0
rioter,0,0.0,rioter18,9.495091013565926,33.6158462624936,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.2602345432695846,0.0,0.0,0.0,0.30591579443698913,1.0,0.0,false,300.0
rioter,0,0.0,rioter19,33.63011957572048,18.061395023809123,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.7819057080320925,0.0,0.0,0.0,0.7742265121234975,1.0,0.0,false,300.0
rioter,0,0.0,rioter20,32.58779444570023,29.723026060356904,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.4798087104010521,0.0,0.0,0.0,0.08338806410617305,1.0,0.0,false,300.0
rioter,0,0.0,rioter21,38.19884585998699,26.68540602866899,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.8731432675748958,0.0,0.0,0.0,0.5722725328729625,1.0,0.0,false,300.0
rioter,0,0.0,rioter22,37.4340011297834,33.595658954344835,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.16904381749363917,0.0,0.0,0.0,0.12013948994729495,1.0,0.0,false,300.0
rioter,0,0.0,rioter23,44.948916745353436,18.38215751792065,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.5693783729665622,0.0,0.0,0.0,0.12998981228910622,1.0,0.0,false,300.0
rioter,0,0.0,rioter24,38.34879753676618,19.593642692496022,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.23894937711354658,0.0,0.0,0.0,0.4458994646307919,1.0,0.0,false,300.0
rioter,0,0.0,rioter25,7.62938690017878,18.954779042433124,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.03832031897902344,0.0,0.0,0.0,0.31177667045899715,1.0,0.0,false,300.0
rioter,0,0.0,rioter26,3.7169355162329065,24.023225424796298,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.4979782142894512,0.0,0.0,0.0,0.9164906425166799,1.0,0.0,false,300.0
rioter,0,0.0,rioter27,38.74463204278626,23.277840328770214,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.8083343466393421,0.0,0.0,0.0,0.9687102545451562,1.0,0.0,false,300.0
rioter,0,0.0,rioter28,15.232773106556802,32.44084417523661,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.17844904481473534,0.0,0.0,0.0,0.624802174801204,1.0,0.0,false,300.0
rioter,0,0.0,rioter29,44.456725786616836,21.425870420418356,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.2207925308460662,0.0,0.0,0.0,0.01275004890328146,1.0,0.0,false,300.0
rioter,0,0.0,rioter30,46.66868698435405,33.00053063065573,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.0704377498905312,0.0,0.0,0.0,0.452519046873477,1.0,0.0,false,300.0
rioter,0,0.0,rioter31,13.802688622210862,32.321708909934195,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.1221689710857734,0.0,0.0,0.0,0.5882836316918303,1.0,0.0,false,300.0
rioter,0,0.0,rioter32,14.795145023022346,19.466744050353253,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.9759906155545718,0.0,0.0,0.0,0.18858317734167895,1.0,0.0,false,300.0
rioter,0,0.0,rioter33,35.99239738397232,22.54821947346004,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.4586500241467628,0.0,0.0,0.0,0.8530558352249578,1.0,0.0,false,300.0
